adj
great
nice
perfect
okay
lovely
bad
meh
lost
dead
peaceful
high
sad
happy
lonely
late
early
chill
cool
worried
cute
good
suave
small
big
angry
scared
jealous
shy
hurt
boring
tasty
black
special
first
last
free
cold
hot
easy
hard
